stock,0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance
ABBV,80751299.85684708,2335202.425010037,691.0,2767.0,141.97000122070312,162.27999877929688,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9543992354137275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31500244140625,-0.157677046308891,182.05999755859375,152.3538321820116,9.23692880193133,150.36500549316406,8.07501220703125,131.8350067138672,50.22499084472656,152.79160042018435,0.6519339149583162,11.557810277761408,133.58297841672723
ABT,39318244.67277402,1137022.6915203591,691.0,2767.0,101.41999816894531,111.47000122070312,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9268976132294316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.167503356933594,-0.2683347220687473,121.37000274658203,106.44783166475673,4.842478188106885,106.95999908447266,4.0449981689453125,89.9800033569336,31.389999389648438,106.61585141249992,-0.15979273224832027,5.983218722717501,35.798906283877244
AMGN,232420224.19865268,6721232.625756295,691.0,2767.0,235.0500030517578,276.9346008300781,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9758766492195692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3800048828125,-0.3733072675610183,324.885009765625,258.1520571856183,19.561899066265266,256.8550109863281,16.7449951171875,212.88999938964844,111.99501037597656,259.21592372731527,0.42903892085566436,23.46082872872571,550.4104846386015
BIIB,223784568.80976766,6471502.857425323,691.0,2767.0,215.63999938964844,284.6600036621094,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9834280029918716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.985015869140625,-1.1932940553431421,318.42999267578125,252.0927126493782,29.47114779324654,258.7699890136719,28.729995727539062,189.25,129.17999267578125,254.35471177372352,-0.13992821496515112,33.846471464127625,1145.5836305720054
BMY,14490681.750287572,419048.0552425556,691.0,2767.0,51.415000915527344,73.29000091552734,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9555301346732967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.839998245239258,-1.2321264466229642,81.32499694824219,63.916140792065875,8.94972272094715,66.13500213623047,7.629997253417969,43.584999084472656,37.73999786376953,64.72456319468125,-0.29326805319884425,10.197844232537593,103.99602699110025
CVS,23235613.173917003,671937.9171173222,691.0,2767.0,69.63500213623047,94.94000244140625,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9566776746810196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.354999542236328,-1.0903565308481968,107.18000030517578,81.00814916495472,11.083924860083705,76.16999816894531,7.7050018310546875,53.834999084472656,53.345001220703125,81.95996945236645,0.3411030924737789,12.45457191160292,155.11636150128842
DHR,182203122.15449575,5269031.8725996455,691.0,2767.0,216.3696746826172,244.47000122070312,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9798376465171993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88471221923828,-0.4193933898876372,268.6125793457031,228.972079124572,12.683843454322945,227.7748260498047,10.50482177734375,182.72000122070312,85.892578125,229.51053550464962,-0.01675442510844537,15.712189185526448,246.87288900177427
GILD,19706235.10738776,569873.7740713637,691.0,2767.0,65.36000061035156,82.29000091552734,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9411099281614738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.40749740600586,-0.9490898442138542,89.45999908447266,75.05993092987157,6.612257537899557,76.83000183105469,4.875,57.310001373291016,32.14999771118164,75.47907147365763,-0.4016619590863358,7.94336196634796,63.09699932842333
ISRG,296689527.6275861,8579801.261642167,691.0,2767.0,229.27000427246094,338.3599853515625,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.989412645550707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.10499572753906,-0.9757214491170783,401.79998779296875,286.7170684585064,50.540648349446315,281.6700134277344,44.654998779296875,182.77999877929688,219.01998901367188,292.87063412722176,0.2503619551766351,59.720440291755516,3566.530988641136
JNJ,92263897.98514497,2668128.9180203867,691.0,2767.0,155.22000122070312,172.74000549316406,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9466133869378051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.105354309082031,-0.8595415706630103,182.94000244140625,163.0761636743383,7.384616140614291,162.1699981689453,6.44000244140625,143.75,39.19000244140625,163.32046900370375,0.17449778793521456,8.929750100097499,79.7404368501913
LLY,856985393.891721,24782689.239205353,691.0,2767.0,327.3999938964844,606.6400146484375,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9924619894059084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.43251037597656,-0.9277779421942687,795.4199829101562,472.49894282486304,137.63610473633247,433.1000061035156,114.52999877929688,285.2300109863281,510.1899719238281,497.7501837421633,0.64604397410253,156.5247406793704,24499.994444744156
MDT,24580474.4533911,710829.2207458387,691.0,2767.0,79.55000305175781,88.76000213623047,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9342723607337523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2752532958984375,1.219277227765878,106.30999755859375,84.0866613881579,4.542208769329827,83.58290100097656,3.6771011352539062,69.2249984741211,37.084999084472656,84.29850054307413,0.4797460214001973,5.972484441498627,35.67057040394317
MRK,40231419.74117991,1163430.299050894,691.0,2767.0,93.80999755859375,116.94000244140625,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9548592778840662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.794998168945312,-0.6026731801553584,132.22000122070312,107.18680372235401,9.243168378077343,107.6500015258789,6.425300598144531,83.69999694824219,48.52000427246094,107.84683353296737,0.027563776492871898,11.913379490015672,141.92861087312608
PFE,5475472.473356915,158342.1767888061,691.0,2767.0,28.690000534057617,48.19499969482422,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.959158186511853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.61250114440918,-1.2959400707885633,54.70000076293945,38.831751476308796,7.522399234798566,38.63999938964844,8.394998550415039,25.270000457763672,29.43000030517578,39.786480106135066,0.07902028265494551,8.663664150812364,75.05907651807132
REGN,2138505849.7538283,61842274.42897133,691.0,2767.0,708.0599975585938,863.8599853515625,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9932674806553642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.3125,-0.509854890227992,994.3400268554688,779.0475055201614,84.59478437979601,764.8099975585938,59.97998046875,541.0599975585938,453.280029296875,786.2849087449795,0.05842866544263015,106.43750214522498,11328.941862914773
SYK,262448970.78557533,7589617.431624504,691.0,2767.0,224.41000366210938,299.9949951171875,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9854575214604382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.77250671386719,-0.7577011314878659,359.9429931640625,271.9155828426876,35.730117979481264,276.2099914550781,25.409988403320312,189.28500366210938,170.65798950195312,275.45277755766244,0.07855071285021326,44.001687144387716,1936.1484715525755
TMO,1017213768.3458204,29416245.469803948,691.0,2767.0,515.6500244140625,571.75,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9827153307571774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.277496337890625,0.5973991850054814,607.010009765625,541.236950422443,26.324036306508717,545.0850219726562,22.80999755859375,421.3949890136719,185.61502075195312,542.2890484499517,-0.7364810858157882,33.76352419650607,1139.9755661680506
UNH,886083193.5465087,25624152.502790883,691.0,2767.0,483.3399963378906,529.9500122070312,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9797633913053897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1300048828125,-0.8091499137697844,557.47998046875,505.5294166249531,20.95944964035274,504.9100036621094,19.050018310546875,437.2200012207031,120.25997924804688,506.12987006634603,-0.07069384980038033,24.646588003431184,607.4543002108779
VRTX,404934315.6056566,11710072.747416329,691.0,2767.0,291.489990234375,396.3399963378906,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.9847132685358906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.51498413085938,-0.8923231520270276,447.3399963378906,338.6065649786379,41.16674980859858,339.3699951171875,41.769989013671875,244.69500732421875,202.64498901367188,342.150366869456,0.4087475279800312,49.116877977644506,2412.4677022708197
ZTS,101048237.25032052,2922158.393589373,691.0,2767.0,158.0800018310547,182.7100067138672,0.0002891008962127783,0.0005782017924255566,0.0008673026886383347,0.0011564035848511131,0.0014455044810638912,0.0017346053772766695,0.002023706273489448,0.0023128071697022263,0.0026019080659150044,0.0028910089621277824,0.962687491937165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.089988708496094,-0.49737488900575855,201.05999755859375,170.33968919024505,11.165459272197841,170.1699981689453,9.110000610351562,131.5449981689453,69.51499938964844,170.91850675040754,-0.010566059439054573,14.054402739349078,197.52623635982286
